Change Component Description : Designator=R1 Old Description= New Description=100 ohm resistor
Change Component Description : Designator=R2 Old Description= New Description=100 ohm resistor
Change Component Description : Designator=R3 Old Description= New Description=100 ohm resistor
Change Component Description : Designator=U6 Old Description=3V LDO New Description=Fixed Positive LDO Regulator, 3V, 0.1V Dropout, CMOS, PBGA4
Change Component Description : Designator=U8 Old Description=3V LDO New Description=Fixed Positive LDO Regulator, 3V, 0.1V Dropout, CMOS, PBGA4
Change Component Description : Designator=U7 Old Description=Digital Switch Unipolar Switch Open Drain Hall Effect SNT-4A New Description=MAGNETIC SWITCH UNIPOLAR SNT-4A
Change component parameters: Designator = "L5" ("L5"); Footprint = "L0402"; UniqueID = "\KGUBJTOU" ("\KGUBJTOU")
Change component parameters (AddParameter): Name = "Power Supply Rejection Ratio (PSRR)"; Value = "73dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.09000 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quiescent Current"; Value = "60uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "ADP172ACBZ-3.0-R7CT-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW1" ("SW1"); Footprint = "OMRON-B3S-1000-4_V"; UniqueID = "\DCEFKIWR" ("\DCEFKIWR")
Change component parameters (AddParameter): Name = "Actuator Length"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Tactile Switches"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/OMRN/OMRN-S-A0001309939/OMRN-S-A0001309939-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/OMRN/OMRN-S-A0001309939/OMRN-S-A0001309939-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899873.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899873.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899874.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899874.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899875.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899875.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/15183/getdatasheetpartid-211358-15183771.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/15183/getdatasheetpartid-211358-15183771.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/27056/2086750-27056652.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/27056/2086750-27056652.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/16155/en-b3s-16155006.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/16155/en-b3s-16155006.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/30125/en-b3s-30125455.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/30125/en-b3s-30125455.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Silver"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "100mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Electrical Life"; Value = "500000Cycles"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination Type"; Value = "Non-Illuminated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "6.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Omron"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "B3S-1000P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (DC)"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mechanical Life"; Value = "500000Cycles"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-25°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Poles"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Force"; Value = "1.57N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.80000, 10=0.77500, 25=0.74520, 100=0.64690, 250=0.59024, 500=0.54850 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "IP67,Waterproof,Dust Tight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "209545"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SW836CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Function"; Value = "Off-Mom"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Travel"; Value = "0.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Gull Wing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.010582oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "6mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW2" ("SW2"); Footprint = "OMRON-B3S-1000-4_V"; UniqueID = "\DZZTUYYH" ("\DZZTUYYH")
Change component parameters (AddParameter): Name = "Actuator Length"; Value = "0.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Tactile Switches"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/OMRN/OMRN-S-A0001309939/OMRN-S-A0001309939-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/OMRN/OMRN-S-A0001309939/OMRN-S-A0001309939-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899873.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899873.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899874.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899874.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899875.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/2899/b3s-1110-2899875.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/15183/getdatasheetpartid-211358-15183771.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/15183/getdatasheetpartid-211358-15183771.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/27056/2086750-27056652.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/27056/2086750-27056652.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/16155/en-b3s-16155006.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/16155/en-b3s-16155006.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/30125/en-b3s-30125455.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/30125/en-b3s-30125455.pdf?src-supplier=Onlinecomponents.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Silver"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "100mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Electrical Life"; Value = "500000Cycles"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination Type"; Value = "Non-Illuminated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "6.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Omron"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "B3S-1000P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (DC)"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mechanical Life"; Value = "500000Cycles"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-25°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Poles"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Force"; Value = "1.57N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.80000, 10=0.77500, 25=0.74520, 100=0.64690, 250=0.59024, 500=0.54850 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "IP67,Waterproof,Dust Tight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "209545"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SW836CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Function"; Value = "Off-Mom"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Travel"; Value = "0.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Gull Wing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "24V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.010582oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "6mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U15" ("U15"); Footprint = "DCK0005A_N"; UniqueID = "\BPJXFAQU" ("\BPJXFAQU")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Logic Gates"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.ti.com:443/lit/ds/symlink/sn74lvc1g32.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.ti.com:443/lit/ds/symlink/sn74lvc1g32.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/27049/756781-27049784.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/27049/756781-27049784.pdf?src-supplier=Jameco"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/1864/sn74lvc1g32-1864192.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/1864/sn74lvc1g32-1864192.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6124/1768050-6124560.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6124/1768050-6124560.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/15090/getdatasheetpartid-127914-15090759.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/15090/getdatasheetpartid-127914-15090759.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/16503/sn74lvc1g32-16503418.pdf?src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/16503/sn74lvc1g32-16503418.pdf?src-supplier=Avnet+Asia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/7783/1768050-7783469.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/7783/1768050-7783469.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/7783/1768050-7783470.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/7783/1768050-7783470.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/26048/sn74lvc1g32-26048814.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/26048/sn74lvc1g32-26048814.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/1864/sn74lvc1g32-1864193.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/1864/sn74lvc1g32-1864193.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11Description"; Value = "https://datasheet.ciiva.com/14290/sn74lvc1g32-14290781.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink11URL"; Value = "https://datasheet.ciiva.com/14290/sn74lvc1g32-14290781.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink12Description"; Value = "https://datasheet.ciiva.com/1864/sn74lvc1g32-1864191.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink12URL"; Value = "https://datasheet.ciiva.com/1864/sn74lvc1g32-1864191.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "High Level Output Current"; Value = "-32mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Logic Function"; Value = "OR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Low Level Output Current"; Value = "32mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SN74LVC1G32DCKR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Current"; Value = "32mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "1.65V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Bits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Gates"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Input Lines"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Inputs"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Output Lines"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "32mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.29000, 10=0.23700, 25=0.19800, 100=0.12540, 250=0.09680, 500=0.08250, 1000=0.05610 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Propagation Delay"; Value = "4ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quiescent Current"; Value = "10uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schmitt Trigger Input"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "92112"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "296-9848-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-On Delay Time"; Value = "4.5ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "8.8E-05oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Added Member To Class: ClassName=DB_Power-X01 Member=Component L1 WIRELESS CHARGING COIL, RECEIVER
